name,gender,probability,n
Anne-Marika,female,1,37
Anne-Marit,female,1,12
Anne-Marita,female,1,87
Anne-Maritta,female,1,30
Anne-Marja,female,1,195
Anne-Marjatta,female,1,15
Anne-Marjo,female,1,20
Anne-Marjut,female,1,45
Anne-May,female,1,80
Annemi,female,1,32
Annemo,female,1,16
Annentytär,female,1,11
Anne-Riikka,female,1,10
Anne-Riitta,female,1,105
Anne-Sisko,female,1,15
Anne-Sofie,female,1,12
Anne-Sophie,female,1,10
Annett,female,1,15
Annetta,female,1,17
Annette,female,1,1480
Annevi,female,1,21
Ann-Gret,female,1,19
Ann-Helen,female,1,82
Ann-Helene,female,1,11
Anni,female,1,19558
Annica,female,1,433
Annie,female,1,365
Anni-Elina,female,1,59
Anni-Emilia,female,1,42
Anni-Eveliina,female,1,10
Anni-Helena,female,1,30
Anni-Ilona,female,1,20
Anniina,female,1,15015
Anni-Julia,female,1,13
Annika,female,1,23215
Annikaisa,female,1,16
Anni-Kaisa,female,1,73
Annikka,female,1,799
Annikki,female,1,62459
Annileena,female,1,19
Anni-Leena,female,1,39
Anniliina,female,1,44
Anni-Liina,female,1,11
Anni-Liisa,female,1,15
Annilotta,female,1,16
Anni-Lotta,female,1,25
Anni-Maaria,female,1,19
Anni-Maarit,female,1,10
Annimaija,female,1,19
Anni-Maija,female,1,58
Anni-Maj,female,1,23
Annimari,female,1,68
Anni-Mari,female,1,95
Annimaria,female,1,42
Anni-Maria,female,1,204
Anni-Marja,female,1,17
Annina,female,1,2797
Anni-Pauliina,female,1,10
Anni-Riikka,female,1,16
Anni-Riina,female,1,11
Anni-Riitta,female,1,11
Anni-Roosa,female,1,10
Anni-Sofia,female,1,99
Annita,female,1,14
Ann-Jeanette,female,1,14
Ann-Katrin,female,1,123
Ann-Katrine,female,1,26
Ann-Kristin,female,1,271
Ann-Kristine,female,1,20
Ann-Len,female,1,14
Annlis,female,1,14
Ann-Lis,female,1,160
Ann-Louis,female,1,12
Ann-Louise,female,1,238
Ann-Maarit,female,1,16
Ann-Maj,female,1,185
Annmari,female,1,99
Ann-Mari,female,1,1310
Ann-Maria,female,1,51
Annmarie,female,1,35
Ann-Marie,female,1,672
Ann-May,female,1,32
Ann-Nina,female,1,33
Annsofi,female,1,10
Ann-Sofi,female,1,385
Ann-Sofia,female,1,22
Ann-Sofie,female,1,333
Ann-Sophie,female,1,25
Annu,female,1,878
Annuka,female,1,16
Annukka,female,1,6393
Annuli,female,1,87
Annuliina,female,1,16
Annu-Maria,female,1,13
Annuska,female,1,16
Ann-Viol,female,1,13
Anny,female,1,19
Ano,male,1,156
Anouar,male,1,10
Anouk,female,1,10
Anri,female,1,333
Anriikka,female,1,22
Anrika,female,1,13
Ansa,female,1,939
Anse,male,1,13
Ansela,female,1,14
Anseli,male,1,12
Anseliina,female,1,13
Anselika,female,1,20
Anselm,male,1,710
Anselmi,male,1,2760
Anselmiina,female,1,15
Anselmo,male,1,29
Ansgarius,male,1,18
Anshelm,male,1,111
Anshelmi,male,1,11
Ansio,male,1,19
Ansku,female,1,13
Anssi,male,1,6946
Anssinpoika,male,1,33
Anssintytär,female,1,12
Anssi-Pekka,male,1,29
Anssi-Petteri,male,1,10
Ansu,male,1,29
Antamo,male,1,18
Ante,male,1,106
Ánte,male,1,10
Anteri,male,1,40
Antero,male,1,142641
Anteronpoika,male,1,32
Anterus,male,1,25
Anthea,female,1,13
Anthon,male,1,93
Anthoni,male,1,12
Anthonio,male,1,23
Anthony,male,1,688
Antigona,female,1,11
Antinpoika,male,1,634
Antintytär,female,1,144
Antje,female,1,15
Anto,male,1,131
Antoine,male,1,68
Antoinette,female,1,135
Anton,male,1,12060
Antonella,female,1,30
Antoni,male,1,157
Antonia,female,1,609
Antonie,female,1,10
Antonietta,female,1,10
Antoniina,female,1,26
Antonin,male,1,10
Antonina,female,1,221
Antonino,male,1,14
Antonio,male,1,821
António,male,1,10
Antonios,male,1,29
Antonis,male,1,19
Antonius,male,1,69
Antony,male,1,87
Antrea,male,1,13
Antreas,male,1,81
Antrei,male,1,24
Ants,male,1,10
Antte,male,1,60
Antti,male,1,56902
Antti-Eemeli,male,1,26
Antti-Einari,male,1,13
Antti-Heikki,male,1,22
Antti-Ilari,male,1,12
Antti-Jaakko,male,1,18
Antti-Juhani,male,1,107
Antti-Jukka,male,1,16
Anttijussi,male,1,21
Antti-Jussi,male,1,482
Antti-Matias,male,1,13
Antti-Matti,male,1,40
Antti-Mikael,male,1,19
Antti-Mikko,male,1,14
Antti-Olavi,male,1,14
Antti-Olli,male,1,10
Antti-Oskari,male,1,38
Anttipekka,male,1,16
Antti-Pekka,male,1,444
Antti-Petteri,male,1,30
Antti-Sakari,male,1,10
Antti-Tapio,male,1,14
Antti-Veikko,male,1,30
Antti-Ville,male,1,77
Antto,male,1,517
Antton,male,1,1844
Anttoni,male,1,1836
